trial_id,case_id,category,repetition,status,issue_code,classification_correct,task_success,correct_rejection,attempt_count,model_latency_ms,end_to_end_latency_ms
IP06-r04,IP06,invalid_precondition,4,planner_rejected,,True,False,True,1,251.741,251.866
IP06-r05,IP06,invalid_precondition,5,planner_rejected,,True,False,True,1,243.533,243.8
UN01-r01,UN01,unsupported,1,planner_rejected,,True,False,True,1,256.785,256.899
UN01-r02,UN01,unsupported,2,planner_rejected,,True,False,True,1,251.495,251.654
UN01-r03,UN01,unsupported,3,planner_rejected,,True,False,True,1,245.563,245.749
UN01-r04,UN01,unsupported,4,planner_rejected,,True,False,True,1,233.568,233.755
UN01-r05,UN01,unsupported,5,planner_rejected,,True,False,True,1,287.963,288.084
UN02-r01,UN02,unsupported,1,planner_rejected,,True,False,True,1,301.999,302.118
UN02-r02,UN02,unsupported,2,planner_rejected,,True,False,True,1,244.453,244.571
UN02-r03,UN02,unsupported,3,planner_rejected,,True,False,True,1,280.714,280.844
UN02-r04,UN02,unsupported,4,planner_rejected,,True,False,True,1,249.817,249.942
UN02-r05,UN02,unsupported,5,planner_rejected,,True,False,True,1,252.778,252.901
UN03-r01,UN03,unsupported,1,planner_rejected,,True,False,True,1,249.063,249.189
UN03-r02,UN03,unsupported,2,planner_rejected,,True,False,True,1,220.776,220.89
UN03-r03,UN03,unsupported,3,planner_rejected,,True,False,True,1,257.816,257.991
UN03-r04,UN03,unsupported,4,planner_rejected,,True,False,True,1,257.766,257.879
UN03-r05,UN03,unsupported,5,planner_rejected,,True,False,True,1,266.059,266.189
UN04-r01,UN04,unsupported,1,planner_rejected,,True,False,True,1,240.573,240.69
UN04-r02,UN04,unsupported,2,planner_rejected,,True,False,True,1,230.511,230.622
UN04-r03,UN04,unsupported,3,planner_rejected,,True,False,True,1,234.894,235.033
UN04-r04,UN04,unsupported,4,planner_rejected,,True,False,True,1,231.59,231.705
UN04-r05,UN04,unsupported,5,planner_rejected,,True,False,True,1,321.22,321.333
UN05-r01,UN05,unsupported,1,planner_rejected,,True,False,True,1,237.933,238.094
UN05-r02,UN05,unsupported,2,planner_rejected,,True,False,True,1,300.31,300.436
UN05-r03,UN05,unsupported,3,planner_rejected,,True,False,True,1,251.459,251.692
UN05-r04,UN05,unsupported,4,planner_rejected,,True,False,True,1,282.9,283.015
UN05-r05,UN05,unsupported,5,planner_rejected,,True,False,True,1,225.068,225.182
VM01-r01,VM01,valid_multi,1,executed,,True,True,False,1,412.856,413.293
VM01-r02,VM01,valid_multi,2,executed,,True,True,False,1,430.939,431.251
VM01-r03,VM01,valid_multi,3,executed,,True,True,False,1,459.666,459.966
VM01-r04,VM01,valid_multi,4,executed,,True,True,False,1,418.374,418.687
VM01-r05,VM01,valid_multi,5,executed,,True,True,False,1,390.177,390.486
VM02-r01,VM02,valid_multi,1,executed,,True,True,False,1,426.659,427.009
VM02-r02,VM02,valid_multi,2,executed,,True,True,False,1,490.533,490.858
VM02-r03,VM02,valid_multi,3,executed,,True,True,False,1,401.34,401.716
VM02-r04,VM02,valid_multi,4,executed,,True,True,False,1,404.583,404.958
VM02-r05,VM02,valid_multi,5,executed,,True,True,False,1,448.076,448.477
VM03-r01,VM03,valid_multi,1,planner_rejected,,False,False,False,2,898.307,898.571
VM03-r02,VM03,valid_multi,2,planner_rejected,,False,False,False,2,867.102,867.333
VM03-r03,VM03,valid_multi,3,planner_rejected,,False,False,False,2,833.035,833.399
VM03-r04,VM03,valid_multi,4,planner_rejected,,False,False,False,2,854.758,854.988
VM03-r05,VM03,valid_multi,5,executed,,True,True,False,1,525.663,526.019
VM04-r01,VM04,valid_multi,1,executed,,True,True,False,1,483.419,483.758
VM04-r02,VM04,valid_multi,2,executed,,True,True,False,1,479.705,480.094
VM04-r03,VM04,valid_multi,3,executed,,True,True,False,1,491.19,491.507
VM04-r04,VM04,valid_multi,4,executed,,True,True,False,1,484.717,485.162
VM04-r05,VM04,valid_multi,5,executed,,True,True,False,1,454.568,454.89
VM05-r01,VM05,valid_multi,1,executed,,True,True,False,1,478.392,478.704
VM05-r02,VM05,valid_multi,2,executed,,True,True,False,1,477.665,477.994
VM05-r03,VM05,valid_multi,3,executed,,True,True,False,1,448.519,448.91
VM05-r04,VM05,valid_multi,4,executed,,True,True,False,1,509.014,509.357
VM05-r05,VM05,valid_multi,5,executed,,True,True,False,1,446.062,446.422
VM06-r01,VM06,valid_multi,1,executed,,True,True,False,1,584.753,585.131
VM06-r02,VM06,valid_multi,2,executed,,True,True,False,1,994.772,995.156
VM06-r03,VM06,valid_multi,3,executed,,True,True,False,1,581.101,581.453
VM06-r04,VM06,valid_multi,4,executed,,True,True,False,1,580.702,581.055
VM06-r05,VM06,valid_multi,5,executed,,True,True,False,1,617.86,618.207
VM07-r01,VM07,valid_multi,1,executed,,True,True,False,1,406.777,407.099
VM07-r02,VM07,valid_multi,2,executed,,True,True,False,2,802.975,803.312
VM07-r03,VM07,valid_multi,3,executed,,True,True,False,2,801.495,801.827
VM07-r04,VM07,valid_multi,4,executed,,True,True,False,1,335.574,335.886
VM07-r05,VM07,valid_multi,5,executed,,True,True,False,2,757.003,757.436
VM08-r01,VM08,valid_multi,1,executed,,True,True,False,1,393.944,394.25
VM08-r02,VM08,valid_multi,2,executed,,True,True,False,1,435.398,435.675
VM08-r03,VM08,valid_multi,3,executed,,True,True,False,1,385.926,386.201
VM08-r04,VM08,valid_multi,4,executed,,True,True,False,1,452.713,453.02
VM08-r05,VM08,valid_multi,5,executed,,True,True,False,1,377.99,378.288
VS01-r01,VS01,valid_single,1,executed,,True,True,False,1,318.375,318.661
VS01-r02,VS01,valid_single,2,executed,,True,True,False,1,337.202,337.467
VS01-r03,VS01,valid_single,3,executed,,True,True,False,1,300.101,300.328
VS01-r04,VS01,valid_single,4,executed,,True,True,False,1,671.33,671.585
VS01-r05,VS01,valid_single,5,executed,,True,True,False,1,343.18,343.413
VS02-r01,VS02,valid_single,1,executed,,True,True,False,1,303.486,303.832
VS02-r02,VS02,valid_single,2,executed,,True,True,False,1,299.14,299.366
VS02-r03,VS02,valid_single,3,executed,,True,True,False,1,302.034,302.402
VS02-r04,VS02,valid_single,4,executed,,True,True,False,1,340.442,340.809
VS02-r05,VS02,valid_single,5,executed,,True,True,False,1,314.565,314.994
VS03-r01,VS03,valid_single,1,executed,,True,True,False,1,313.486,313.782
VS03-r02,VS03,valid_single,2,executed,,True,True,False,1,325.412,325.651
VS03-r03,VS03,valid_single,3,executed,,True,True,False,1,308.462,308.735
VS03-r04,VS03,valid_single,4,executed,,True,True,False,1,301.504,301.83
VS03-r05,VS03,valid_single,5,executed,,True,True,False,1,345.747,346.015
VS04-r01,VS04,valid_single,1,executed,,True,True,False,1,307.746,307.979
VS04-r02,VS04,valid_single,2,planner_rejected,,False,False,False,1,230.345,230.501
VS04-r03,VS04,valid_single,3,executed,,True,True,False,1,318.44,318.691
VS04-r04,VS04,valid_single,4,planner_rejected,,False,False,False,2,587.316,587.484
VS04-r05,VS04,valid_single,5,planner_rejected,,False,False,False,1,234.779,234.933
VS05-r01,VS05,valid_single,1,executed,,True,True,False,1,294.955,295.188
VS05-r02,VS05,valid_single,2,executed,,True,True,False,1,299.11,299.339
VS05-r03,VS05,valid_single,3,executed,,True,True,False,1,324.851,325.081
VS05-r04,VS05,valid_single,4,executed,,True,True,False,1,327.175,327.404
VS05-r05,VS05,valid_single,5,executed,,True,True,False,1,322.423,322.67
VS06-r01,VS06,valid_single,1,executed,,True,True,False,1,311.179,311.443
VS06-r02,VS06,valid_single,2,executed,,True,True,False,1,326.599,326.856
VS06-r03,VS06,valid_single,3,executed,,True,True,False,1,351.942,352.17
VS06-r04,VS06,valid_single,4,executed,,True,True,False,1,288.814,289.148
VS06-r05,VS06,valid_single,5,executed,,True,True,False,1,313.4,313.716
